fixture,code,cluster,measure,page,staff,voice,expectedOnset,generatedOnset,onsetDiff,expectedPitch,generatedPitch,expectedChord,generatedChord,fragmentedSameClef,sequentialSameXCount,duplicateOwnershipCount
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,2,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,2,2,,0,,,C3,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,2,2,,0,,,D3,,,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,6,,,,,,,,,A4 C#5 E5,A4 B4 B4 C5 C5,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,6,,,,,,,,,B4,A4 A4 B4 B4 C5,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,6,,,,,,,,,C#5 E5,B4 B4 C5 C5,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,6,,,,,,,,,A2 E3,G2 C3 D3 D3,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,6,,,,,,,,,D3 A3,C3 E3,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,7,,1,1,1,1.25,0.25,A4,A4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,7,,1,1,3,2.75,0.25,C5,C5,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,7,,1,1,2,1.25,0.75,B4,B4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,7,,2,2,2,2.75,0.75,C3,C3,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,7,,1,1,2,2.75,0.75,D5,B4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,7,,2,2,2,2.75,0.75,G3,F3,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,7,,1,1,,0,,,G4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,7,,1,1,,0,,,A4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,7,,1,1,,0,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,7,,1,1,,1.25,,,G4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,7,,1,1,,2.75,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,7,,2,2,,0,,,A2,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,7,,2,2,,0,,,A2,,,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,7,,,,,,,,,G4 B4 D5,G4 G4 A4 B4 B4 B4,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,7,,,,,,,,,B4 D5,B4 B4,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,7,,,,,,,,,G2 D3,G2 A2 A2 C3,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,7,,,,,,,,,C3 G3,C3 F3,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,8,,1,1,2,2.75,0.75,B4,B4,,,,,
piano-articulation-scan,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,1,1.25,0.25,F#4,F4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,8,,1,1,3,2.75,0.25,A4,B4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,8,,2,2,2,2.75,0.75,A2,A2,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,8,,2,2,2,2.75,0.75,E3,E3,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,8,,1,1,2,1.25,0.75,G#4,F4,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,8,,1,1,0,,,B4,,,,,,
