fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,G2,A2,2,2.75,2,1,2,0.75,1,duration-inference,duration_inference,event-match
piano-articulation-scan,incorrect-pitch,pitch,2,2,2,D2,A2,0,0,2,1,7,0,1,staff-pitch-assignment,pitch_mapping,event-match
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,D2,A2,0,0,2,1,7,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,extra-note,pitch,2,1,1,,A4,,2.75,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,2,1,1,,B4,,2.75,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,2,2,2,,C3,,0,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,2,2,2,,A2,,2.75,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,2,2,2,,C3,,2.75,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,2,2,2,,E3,,2.75,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-pitch,pitch,3,1,1,G#4,A4,0,0,1,1,1,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,incorrect-pitch,pitch,3,1,1,F#4,F4,1,1,1,1,-1,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,incorrect-pitch,pitch,3,1,1,G#4,A4,2,2,1,1,1,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,incorrect-pitch,pitch,3,1,1,B4,A4,2,2,1,1,-2,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,incorrect-pitch,pitch,3,1,1,A4,B4,3,3,1,1,2,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,missing-tie,sustain,3,1,1,A4,B4,3,3,1,1,2,0,0,sustain-tie,sustain_association,event-match
